Sample_ID,SOST_Expression,MKI67,Dataset
GSM540108,3.19,5.8725,GSE21653
GSM540109,2.95,7.532500000000001,GSE21653
GSM540110,2.96,6.725,GSE21653
GSM540111,2.55,6.305,GSE21653
GSM540112,2.94,6.1175,GSE21653
GSM540113,2.49,6.1425,GSE21653
GSM540114,2.55,6.055,GSE21653
GSM540115,2.67,4.6275,GSE21653
GSM540116,2.52,7.0425,GSE21653
GSM540117,2.7,7.3375,GSE21653
GSM540118,2.9,6.297499999999999,GSE21653
GSM540119,3.19,7.502499999999999,GSE21653
GSM540120,2.6,7.04,GSE21653
GSM540121,2.62,6.9075,GSE21653
GSM540122,2.92,6.7925,GSE21653
GSM540123,2.96,6.58,GSE21653
GSM540124,2.57,8.1125,GSE21653
GSM540125,3.02,5.9625,GSE21653
GSM540126,2.48,6.3125,GSE21653
GSM540127,2.48,7.4025,GSE21653
GSM540128,2.59,7.5075,GSE21653
GSM540129,2.72,5.5775,GSE21653
GSM540130,2.69,7.12,GSE21653
GSM540131,2.67,6.657500000000001,GSE21653
GSM540132,2.61,7.1675,GSE21653
GSM540133,2.85,6.27,GSE21653
GSM540134,2.97,6.315,GSE21653
GSM540135,2.28,5.095,GSE21653
GSM540136,2.73,4.245,GSE21653
GSM540137,2.67,7.0725,GSE21653
GSM540138,2.67,8.0925,GSE21653
GSM540139,3.19,5.7275,GSE21653
GSM540140,2.7,7.4475,GSE21653
GSM540141,2.81,5.815,GSE21653
GSM540142,2.61,7.4125,GSE21653
GSM540143,2.9,4.69,GSE21653
GSM540144,2.63,4.91,GSE21653
GSM540145,2.53,5.47,GSE21653
GSM540146,2.63,6.775,GSE21653
GSM540147,2.58,5.955,GSE21653
GSM540148,2.62,7.015000000000001,GSE21653
GSM540149,2.61,7.625,GSE21653
GSM540150,2.89,5.2775,GSE21653
GSM540151,3.1,6.984999999999999,GSE21653
GSM540152,2.61,6.6075,GSE21653
GSM540153,2.62,5.3425,GSE21653
GSM540154,2.67,4.935,GSE21653
GSM540155,2.66,6.5725,GSE21653
GSM540156,2.89,6.44,GSE21653
GSM540157,2.93,5.657500000000001,GSE21653
GSM540158,2.58,6.1575,GSE21653
GSM540159,2.87,5.895,GSE21653
GSM540160,2.84,6.42,GSE21653
GSM540161,2.53,7.1325,GSE21653
GSM540162,2.81,5.9025,GSE21653
GSM540163,2.57,4.16,GSE21653
GSM540164,3.28,5.9925,GSE21653
GSM540165,2.64,7.2125,GSE21653
GSM540166,2.82,5.4475,GSE21653
GSM540167,2.98,5.5825000000000005,GSE21653
GSM540168,4.55,6.5975,GSE21653
GSM540169,2.35,4.180000000000001,GSE21653
GSM540170,2.99,5.7875,GSE21653
GSM540171,2.4,5.73,GSE21653
GSM540172,2.92,6.595000000000001,GSE21653
GSM540173,2.87,5.84,GSE21653
GSM540174,2.77,6.494999999999999,GSE21653
